"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52111";"Comando da Aeronáutica";"120632";"BASE AEREA DE RECIFE";"12013";"0";"Inválido";"Inválido";"1";"545,02"
"52111";"Comando da Aeronáutica";"120632";"BASE AEREA DE RECIFE";"12014";"0";"Inválido";"Inválido";"1";"803,55"
"52121";"Comando do Exército";"160141";"COMISSAO REGIONAL DE OBRAS DA 9ª RM";"12015";"1601410700001201500001";"COLETA / TRATAMENTO - ESGOTO SANITARIO";"SERVIÇO DE COLETA E TRATAMENTO DE ESGOTO SANITÁRIO.";"24";"956,76"
"52111";"Comando da Aeronáutica";"120632";"BASE AEREA DE RECIFE";"12016";"0";"Inválido";"Inválido";"24";"680,00"
"52131";"Comando da Marinha";"789310";"CAPITANIA DOS PORTOS DE SAO PAULO";"12017";"0";"Inválido";"Inválido";"0";"0,00"
"52111";"Comando da Aeronáutica";"120632";"BASE AEREA DE RECIFE";"12017";"1206320500055201700001";"ARRENDAMENTO";"CESSÃO DE USO DE ÁREA COM 66,73 M², CONFORME LAUDO DE AVALIAÇÃO N  11/2017, CO M A FINALIDADE PARA BAR E LANCHONETE, LOCALIZADA NO ÂMBITO INTERNO DO CONJUNTO  HABITACIONAL SARGENTO WALDER XAVIER DE LIMA.";"1";"569,76"
"52111";"Comando da Aeronáutica";"120632";"BASE AEREA DE RECIFE";"12018";"1206320500022201800001";"ARRENDAMENTO";"CESSÃO DE USO DE PARTE DO TOMBO PE 003-000, LOCALIZADO NA AV. PRESIDENTE DUTRA , 207, IMBIRIBEIRA, RECIFE-PE, DE 8.080,81 M²";"60";"18410,00"
"26244";"Universidade Federal do Rio Grande do Sul";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"12018";"1531140500184201700001";"CONCESSAO USO - AREA / IMOVEL PUBLICO";"CONCESSÃO ADMINISTRATIVA DE USO DE BEM PÚBLICO A TÍTULO ONEROSO DE ÁREA DE 140  M², LOCALIZADA NO INSTITUTO DE PESQUISAS HIDRÁULICAS (PRÉDIO ADMINISTRATIVO, AV. BENTO GONÇALVES, Nº 9500, PRÉDIO Nº 44301, CEP 91501-970   CAMPUS VALE   P ORTO ALEGRE/RS) - PARA USO EXCLUSIVO DE SERVIÇOS DE ALIMENTAÇÃO - RESTAURANTE/ BAR/LANCHERIA.";"12";"3455,76"
"26244";"Universidade Federal do Rio Grande do Sul";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"12018";"0";"Inválido";"Inválido";"12";"240,90"
"26244";"Universidade Federal do Rio Grande do Sul";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"12018";"0";"Inválido";"Inválido";"12";"191,36"
"52121";"Comando do Exército";"160232";"13 BATALHAO DE INFANTARIA BLINDADO";"12018";"0";"Inválido";"Inválido";"60";"0,00"
"52221";"Indústria de Material Bélico do Brasil";"168007";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FMCE";"12018";"1680070700003201800001";"PEDAGIO ELETRONICO";"SERVIÇO DE PAGAMENTO AUTOMÁTICO DE PEDÁGIOS E ESTACIONAMENTOS.";"60";"500,00"
"52121";"Comando do Exército";"160346";"COMANDO DE FRONTEIRA RONDONIA/6 BIS";"12018";"1603460700002201800002";"ASSINATURA DE LINHA ANALOGICA";"ASSINATURA BÁSICA MENSAL DE 17(DEZESSETE) LINHAS TELEFÔNICAS (ANALÓGICAS), SEN DO 04 (QUATRO) PABX E 13 LINHAS DIRETAS, COM FRANQUIA DE 150 MINUTOS DE CHAMAD A PARA FIXO-FIXO";"204";"78,19"
"52121";"Comando do Exército";"160346";"COMANDO DE FRONTEIRA RONDONIA/6 BIS";"12018";"1603460700002201800004";"CHAMADAS LOCAIS FIXO-MOVEL STFC-LOCAL-FM (VC1)";"CHAMADAS FIXO-MÓVEL LOCAL (VC1).";"7200";"0,91"
