"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"12021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"24/12/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA."
"12021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022022";"23/11/2022";"Objetivo: ACRÉSCIMO DE SERVIÇOS"
"452020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"22/11/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"512020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"27/12/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"652020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"24/12/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"652020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022022";"22/02/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA,"
"22021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"14/06/2021";"Objetivo: SUPRESSÃO DE 1,34 % E ACRÉSCIMO DE 2,69 % NO VALOR INICIAL ATUALIZADO DO CONTRATO E ALTERAÇÃO CONTRATUAL."
"22021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000032021";"18/08/2021";"Objetivo: ALTERAR O POSTO DE RECEPCIONISTA PARA AUXILIAR ADMINISTRATIVO, NA UNIDADE DA SAD/PE, MANTENDO O VALOR DO CONTRATO."
"62019";"20000";"Presidência da República";"60000";"Gabinete da Vice-Presidência da República";"110101";"GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"000012020";"19/01/2021";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA CONTRATUAL PELO PERÍODO DE 12 (DOZE) MESES, CONTADOS DE 11/11/2020 A 11/11/2021."
"62019";"20000";"Presidência da República";"60000";"Gabinete da Vice-Presidência da República";"110101";"GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"000022021";"17/11/2021";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 06/2019, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 11/11/2021 A 11/11/2022, NOS TERMOS DO ART. 57, (II OU IV), DA LEI N.º 8.666, DE 1993."
"62019";"20000";"Presidência da República";"60000";"Gabinete da Vice-Presidência da República";"110101";"GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"000032022";"08/11/2022";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 06/2019, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 11/11/2022 A 11/11/2023, NOS TERMOS DO ART. 57, (II OU IV), DA LEI N.º 8.666, DE 1993.ALTERAR A CLÁUSULA QUINTA - PAGAMENTO E A CLÁUSULA DÉCIMA SEGUNDA - VEDAÇÕES, DE ACORDO COM INSTRUÇÃO NORMATIVA SEGES/ME Nº 53, DE 8 DE JULHO DE 2020."
"12021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012021";"07/01/2022";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO POR MAIS 4 (QUATRO) MESES. FUNDAMENTO LEGAL: INCISO II DO ART 57 DA LEI Nº 8.666/93."
"552010";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012011";"25/11/2011";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR MAIS 12 (DOZE) MESES, TENDO POR TERMO INICIAL O DIA 17 DE NOVEMBRO DE 2011 E FINAL O DIA 16 DE NOVEMBRO DE 2012, BEM COMO REAJUSTAR O VALOR MENSAL CONTRATADO, DE ACORDO COM A CLÁUSULA SEXTA DO CONTRATO ORIGINAL."
"552010";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012014";"04/09/2014";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA E REAJUSTE DO CONTRATO."
"552010";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000022012";"28/11/2012";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR MAIS 12 (DOZE) MESES, BEM COMO, REAJUSTAR O VALORCONTRATADO, DE ACORDO COM O QUE DISPÕE A CLÁUSULA SEXTA DO CONTRATO ORIGINAL."
"552010";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000022014";"04/09/2014";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA E REAJUSTE DO VALOR"
