"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52222";"Fundação Osório";"164204";"FUNDACAO OSORIO";"0";"1642040600020202200001";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO";"FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO SANITÁRIO PARA AS DEPENDÊNCIAS DA FO";"1";"100000,00"
"44207";"Instituto Chico Mendes de Conservação da Biod";"443033";"INSTITUTO CHICO MENDES - SEDE";"2022";"4430330500015202100003";"TRANSPORTE SUPERFICIE  EM  AEROPORTOS - PASSAGEIRO / CARGA /AERONAVE / EQUIPAMENTO";"TRANSPORTE SUPERFÍCIE  EM  AEROPORTOS - PASSAGEIRO , CARGA ,AERONAVE , EQUIPAM ENTO";"840";"15830,00"
"39250";"Agência Nacional de Transportes Terrestres";"393001";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"12007";"0";"Inválido";"Inválido";"1";"1650561,48"
"52904";"Fundo do Exército";"167530";"BASE DE ADM E APOIO DO CMDO MILITAR DO OESTE";"12014";"0";"Inválido";"Inválido";"1";"3229,82"
"52222";"Fundação Osório";"164204";"FUNDACAO OSORIO";"12018";"1642040500022201700001";"CANTINA / BAR / LANCHONETE / REFEICAO RAPIDA / RESTAURANTE";"INSTALAÇÃO E EXPLORAÇÃO, EM DESTINAÇÃO COMERCIAL, DE CANTINA ESCOLAR NA INSTIT UIÇÃO FEDERAL DE ENSINO FUNDAÇÃO OSORIO [FO], LOCALIZADA NO PRÉDIO EPITÁCIO PE SSOA, MEDIANTE INSTRUMENTO DE CESSÃO DE DIREITO REAL DE USO DE IMÓVEL ADMINIST RADO PELA UNIÃO, PARA PRESTAÇÃO DE SERVIÇOS COMUNS DE APOIO (ART. 45, . 1º, IV , DA LEI 8.666/93).";"1";"330,00"
"52111";"Comando da Aeronáutica";"120669";"BASE AEREA DE SANTA CRUZ";"12019";"1206690500004201900001";"CONCESSAO USO - AREA / IMOVEL PUBLICO";"CONCESSÃO USO - ÁREA , IMÓVEL PÚBLICO";"1";"167808,17"
"52121";"Comando do Exército";"160200";"PARQUE REGIONAL DE MANUTENCAO/7";"12020";"1602000500016202000002";"PRESTACAO DE SERVICOS DE LAVANDERIA";"LAVAGEM DE COLCHA NA COR BRANCA, DEVENDO SER LAVADO DURANTE UM MÊS";"300";"7,16"
"52121";"Comando do Exército";"160200";"PARQUE REGIONAL DE MANUTENCAO/7";"12020";"1602000500016202000004";"PRESTACAO DE SERVICOS DE LAVANDERIA";"LAVAGEM DE TOALHA DE MESA NA COR VERMELHA, CINZA, AZUL E BRANCA. DEVENDO SER L AVADO DURANTE UM MÊS";"100";"8,36"
"52121";"Comando do Exército";"160200";"PARQUE REGIONAL DE MANUTENCAO/7";"12020";"1602000500016202000001";"PRESTACAO DE SERVICOS DE LAVANDERIA";"LAVAGEM DE LENÇOL NA COR BRANCA, DEVENDO DER LAVADO DURANTE UM MÊS";"300";"3,57"
"52121";"Comando do Exército";"160200";"PARQUE REGIONAL DE MANUTENCAO/7";"12020";"1602000500016202000003";"PRESTACAO DE SERVICOS DE LAVANDERIA";"LAVAGEM DE FRONHA DEVENDO SER LAVADO DURANTE UM MÊS";"200";"3,25"
