"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"442022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012022";"23/11/2022";"Objetivo: ACRESCENTAR 13,73% DO VALOR INICIAL ATUALIZADO DO CONTRATO, A PARTIR DA DATA DE ASSINATURA DESTE INSTRUMENTO, EQUIVALENTE A R$ 176.942,88, NOS MOLDES DO ART. 65, INCISO I, ALÍNEA 'B', § 1º, DA LEI N.º 8.666/1993."
"9862022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114612";"UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE";"000012022";"29/09/2022";"Objetivo: LOCAÇÃO DE DOIS ARES-CONDICIONADORES DE 22.000 BTU'S"
"9862022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114612";"UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE";"000022022";"17/11/2022";"Objetivo: PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO 00986-22 ATRAVÉS DESTE ADITIVO POR MAIS UM PERÍODO DE 45 DIAS, ESTIMADO EM R$ 4.768,00, A CONTAR DE 10/11/2022."
"32021";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130027";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AL";"000012022";"20/10/2022";"Objetivo: PRORROGAÇÃO DO PRAZO ORIGINAL POR MAIS DOZE MESES."
"42022";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130083";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RO";"000012022";"01/12/2022";"Objetivo: REEQUILÍBRIO FINANCEIRO DO CONTRATO 4/2022/SFA-RO EM R$ 8.127,50 (OITO MIL CENTO E VINTE E SETE REAIS E CINQUENTA CENTAVOS) CONFORME PLANILHA DISCRIMINADA NO OFÍCIO Nº 6/2022 (SEI 24773105) E PRORROGAÇÃO DA VIGÊNCIA ATÉ 21/12/2022"
"192022";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vínculo";"152004";"INSTITUTO BENJAMIN CONSTANT-RJ";"000012022";"22/09/2022";"Objetivo: SUPRESSÃO DE 01 POSTO DE BIBLIOTECÁRIO AO QUANTITATIVO DO CONTRATO, A PARTIR DE 12/09/2022, COM ANUÊNCIA DA CONTRATADA, NOS TERMOS PREVISTOS EM SUA CLÁUSULA DÉCIMA TERCEIRA, DE ACORDO COM O ART. 65 DA LEI Nº 8.666/93"
"12022";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"152737";"CAMPUS DE MACAE DA UFRJ";"000012022";"30/09/2022";"Objetivo: SUPRESSÃO DE 2,5% (DOIS E MEIO POR CENTO) DO VALOR INICIAL ATUALIZADO DO CONTRATO FIRMADO ENTRE AS PARTES, A PARTIR DE 01/09/2022, COM FUNDAMENTO NO INCISO I, ALÍNEA B DO ARTIGO 65 DA LEI Nº 8.666/1993. A REFERIDA SUPRESSÃO COMPREENDE A SUBTRAÇÃO DO POSTO DE AUXILIAR DE BOMBEIRO HIDRÁULICO (CBO 5143-10)."
"222022";"26000";"Ministério da Educação";"26256";"Centro Federal de Educação Tecnológica Celso ";"153010";"CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA";"000012022";"20/10/2022";"Objetivo: SUPRESSÃO DE APROXIMADAMENTE 24,32% DO VALOR CONTRA-TUAL, COM REDUÇÃO DE 02 (DOIS) TERCEIRIZADOS, SENDO 01 (UM) ELETRICISTA E 01(UM) PEDREIRO"
"252022";"26000";"Ministério da Educação";"26254";"Universidade Federal do Triângulo Mineiro";"153035";"UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO";"000012022";"07/11/2022";"Objetivo: O ACRÉSCIMO DE 5,44% (CINCO INTEIROS E QUARENTA E QUATRO CENTÉSIMOS POR CENTO) SOBRE O VALOR TOTAL DO CONTRATO, CORRESPONDENTE À PRESTAÇÃO DE SERVIÇOS NA ÁREA DE RECEPÇÃO, EQUIVALENTE À 2 (DOIS) POSTOS DE RECEPCIONISTA, A PARTIR DE 7 DE NOVEMBRO DE 2022."
"192015";"26000";"Ministério da Educação";"26231";"Universidade Federal de Alagoas";"153037";"UNIVERSIDADE FEDERAL DE ALAGOAS";"000432022";"23/09/2022";"Objetivo: O PRESENTE TERMO OBJETIVA A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO EM TELA POR MAIS 24(VINTE E QUATRO) MESES"
