"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52131";"Comando da Marinha";"787700";"HOSPITAL NAVAL DE BRASILIA";"2020";"7877000500011202000015";"DIETA ENTERAL";"DIETA ENTERAL, ASPECTO FÍSICO LÍQUIDO, USO ENTERAL OU ORAL, CARACTERÍSTICAS HIPERCALÓRICA E HIPOPROTÉICA, FONTE DE PROTEÍNA CASEINATO, FONTE DE CARBOIDRATO MALTODEXTRINA, FONTE DE LIPÍDIOS ÓLEOS VEGETAIS E TCM, COMPONENTES ADICIONAIS AA'S,VIT.,MINERAIS, CARACTERÍSTICAS ADICIONAIS ISENTO SACAROSE,LACTOSE,GLÚTEN,FIBRAS, SABOR C/SABOR";"2";"178,00"
"52131";"Comando da Marinha";"787700";"HOSPITAL NAVAL DE BRASILIA";"2020";"7877000500011202000001";"DIETA ENTERAL";"DIETA ENTERAL, ASPECTO FÍSICO LÍQUIDO, USO ENTERAL OU ORAL, CARACTERÍSTICAS HIPERCALÓRICA,HIPERPROTEICA,NORMOLIPÍDICA, FONTE DE PROTEÍNA CASEINATO OU PTN SORO LEITE, FONTE DE CARBOIDRATO MALTODEXTRINA E SACAROSE, FONTE DE LIPÍDIOS ÓLEOS VEGETAIS E/OU TCM E/OU LEC.SOJA, COMPONENTES ADICIONAIS AA'S,VIT.,MINERAIS, CARACTERÍSTICAS ADICIONAIS ISENTA LACTOSE E GLÚTEN, SABOR C/SABOR";"1";"13950,00"
"52131";"Comando da Marinha";"767200";"CASA DO MARINHEIRO";"2021";"0";"Inválido";"Inválido";"510";"81,22"
"52121";"Comando do Exército";"160429";"13 COMPANHIA DE COMUNICACOES MECANIZADA";"12012";"1604290700001201200001";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO";"PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO SANITÁRIO PARA  O ANO DE 2012.";"1";"240000,00"
"20411";"Instituto do Patrimônio Histórico e Artístico";"343040";"SUPERINTENDENCIA DO IPHAN NO ACRE-AC";"12014";"3430400600002201400001";"LOCACAO DE IMOVEL";"LOCAÇÃO DE IMÓVEL PARA SEDIAR PROVISORIAMENTE O IPHAN-AC.";"1";"9146,53"
"20402";"Agência Espacial Brasileira";"203001";"AGENCIA ESPACIAL BRASILEIRA/AEB";"12015";"2030010500003201500001";"PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DOS SERVIÇOS DE APOIO AD MINISTRATIVO(AUXILIAR NÍVEL I E II), NA SEDE DA AGÊNCIA ESPACIAL BRASILEIRA EM  BRASÍLIA-DF, CONFORME ESPECIFICAÇÕES CONTIDAS NO TERMO DE REFERÊNCIA, ANEXO I  DO EDITAL.";"1";"386765,62"
"52121";"Comando do Exército";"160064";"COLEGIO  MILITAR DE BRASILIA";"12016";"0";"Inválido";"Inválido";"1";"5151,72"
"52121";"Comando do Exército";"160177";"71º BATALHAO DE INFANTARIA MOTORIZADO";"12016";"1601770700005201600001";"LABORATORIO - ANALISE MICROBIOLOGICA";"CONTRATAÇÃO DE SERVIÇOS MÉDICO, AMBULATORIAIS, LABORATORIAIS AOS USUÁRIOS DO S ISTEMA FUSEX.";"1";"60000,00"
"36000";"Ministério da Saúde - Unidades com vínculo di";"250061";"HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO";"12016";"2500610700001201600001";"PUBLICACAO, IMPRESSAO DE JORNAL / REVISTA / LIVRO";"PRESTAÇÃO DE SERVIÇOS DE PUBLICAÇÃO LEGAL(AVISOS, BALANÇOS, RELATÓRIOS, ETC), EXCLUSIVOS,ATRAVÉS DA EBC PARA O HFSE.";"1";"64524,36"
"26292";"Fundação Joaquim Nabuco";"344002";"FUNDACAO JOAQUIM NABUCO";"12016";"3440020500053201500006";"PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO";"MARCENEIRO / SISTEMA DE MARCENARIA.";"1";"5237,81"
