"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"92022";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"17/10/2022";"Objetivo: ACRÉSCIMO E SUPRESSÃO CONTRATUAL"
"22022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012022";"26/09/2022";"Objetivo: SUPRIMIR A PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA ARMADADA NA PSF/PGR - PROCURADORIA SECCIONAL FEDERAL LOCALIZADA EM PONTA GROSSA"
"112022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"22/09/2022";"Objetivo: O OBJETIVO DESTE OBJETO É: 1.1.1. PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 11/2022, REFERENTE AOS SERVIÇOS DE AUXILIAR DE ESCRITÓRIO PARA A AGU CAMPO GRANDE/MS POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 02/10/2022 A 01/10/2023, NOS TERMOS DO ART. 57, II, DA LEI N.º 8.666, DE 1993."
"12022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"08/04/2022";"Objetivo: 1.1. O OBJETO DO PRESENTE INSTRUMENTO É:1.1.1. PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 01/2022, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 08/04/2022 A 07/04/2023, NOS TERMOS DO ART. 57, II, DA LEI N.º 8.666, DE 1993.1.1.2. ADEQUAR O CONTRATO ÀS ALTERAÇÕES TRAZIDAS PELA INSTRUÇÃO NORMATIVA SEGES/ME Nº 53, DE 8 DE JULHO DE 2020."
"122022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"23/08/2022";"Objetivo: ACRESCENTAR 1,00% (UM POR CENTO) AO VALOR INICIAL ATUALIZADO DO CONTRATO, A PARTIR DA DATA DE ASSINATURA DESTE INSTRUMENTO, NOS MOLDES DO ART. 65, INCISO I, ALÍNEA 'B', § 1º, DA LEI Nº 8.666/1993. COM A ASSINATURA DESTE TERMO FICA ACRESCIDA, AO ITEM 2, A QUANTIDADE MÁXIMA DE 146 PACOTES DE 500G DE CAFÉ, TOTALIZANDO 446 PACOTES E, AO ITEM 5, A QUANTIDADE MÁXIMA DE 100 PACOTES DE 1KG DE AÇÚCAR, TOTALIZANDO 208 PACOTES."
"42022";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"17/11/2022";"Objetivo: O OBJETO DO PRESENTE INSTRUMENTO É PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 04/2022, POR 3 (TRÊS) MESES OU ATÉ QUE SE ENCERRE O PROCESSO LICITATÓRIO, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 04/11/2022 A 03/02/2023, NOS TERMOS DO ART. 57, INCISO II, DA LEI N.º 8.666, DE 1993."
"22022";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000012022";"26/07/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"52022";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000162022";"20/04/2022";"Objetivo: MODIFICAR AS ESPECIFICAÇÕES DO OBJETO, PARA MELHOR ADEQUAÇÃO AOS OBJETIVOS DO CONTRATO."
"52022";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20301";"Comissão Nacional de Energia Nuclear";"113202";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN";"000012022";"28/07/2022";"Objetivo: ACRESCER AO OBJETO DO CONTRATO 3.264 UNIDADES DO ITEM 2 - BLINDAGEM GRANDE BRANCA NO VALOR R$ 511.664,64  QUE CORRESPONDE A 24,91% DO VALOR TOTAL DO CONTRATO, PERMANECENDO INALTERADAS AS DEMAIS CLÁUSULAS CONTRATUAIS PACTUADAS."
"52022";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20301";"Comissão Nacional de Energia Nuclear";"113202";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN";"000022022";"18/08/2022";"Objetivo: SUPRIMIR AO OBJETO DO CONTRATO 1.500 (UM MIL E QUINHENTAS) UNIDADES DO ITEM 1 - BLINDAGEM PEQUENA ROSA NO VALOR R$ 150.000,00 QUE CORRESPONDE A 25% DO VALOR TOTAL DO CONTRATO, AMPARADO NO ARTIGO 65, INCISO II ALÍNEA B DA LEI 8.666/1993. E ARTIGO 65, § 1º DA LEI 8.666/93, PERMANECENDO INALTERADAS AS DEMAIS CLÁUSULAS CONTRATUAIS PACTUADAS."
