"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"582022";"26000";"Ministério da Educação";"26263";"Universidade Federal de Lavras";"153032";"UNIVERSIDADE FEDERAL DE LAVRAS";"000012022";"07/11/2022";"Objetivo: I. PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 058/2022-UFLA, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 5/11/2022 A 4/11/2023, NOS TERMOS DO ART. 57, II, DA LEI Nº 8.666, DE 1993. II. REPACTUAR OS VALORES CONTRATUAIS EM RAZÃO DOS REAJUSTES DOS ITENS ENVOLVENDO A FOLHA DE SALÁRIOS, COM BASE NA PUBLICAÇÃO NO DIÁRIO OFICIAL DO MUNICÍPIO, EDIÇÃO Nº 2681 - SEGUNDO CADERNO, DE 28/12/2021, QUE REAJUSTOU A TARIFA DO TRANSPORTE COLETIVO DE PASSAGEIROS EM LAVRAS, A PARTIR DE 7/1/2022."
"592022";"26000";"Ministério da Educação";"26263";"Universidade Federal de Lavras";"153032";"UNIVERSIDADE FEDERAL DE LAVRAS";"000012022";"11/11/2022";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 059/2022-UFLA, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 11/11/2022 A 10/11/2023"
"1732021";"26000";"Ministério da Educação";"26247";"Universidade Federal de Santa Maria";"153164";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"000012022";"16/11/2022";"Objetivo: RENOVAÇÃO DO SEGURO PARA OS PRÉDIOS DO ALMOXARIFADO CENTRAL E DIVISÃO DE PATRIMONIO TOTALIZANDO 04 PRÉDIOS"
"292020";"26000";"Ministério da Educação";"26258";"Universidade Tecnológica Federal do Paraná";"153176";"UTFPR - CAMPUS CORNELIO PROCOPIO";"000012022";"23/11/2022";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR FINALIDADE A ALTERAÇÃO DA€CLÁUSULA TERCEIRA -€DOS RECURSOS FINANCEIROS E CLÁUSULA SÉTIMA - DA VIGÊNCIA E DO PRAZO"
"112019";"26000";"Ministério da Educação";"26201";"Colégio Pedro II";"155631";"COLEGIO PEDRO II - CAMPUS SAO CRISTOVAO II";"000012020";"30/11/2022";"Objetivo: O PRESENTE TERMO ADITIVO  TEM POR OBJETO A PRORROGAÇÃO DA VIGENCIA DO CONTRATO 011/2019, POR MAIS 12 MESES, DE 25/11/2020 A 25/11/2021"
"112019";"26000";"Ministério da Educação";"26201";"Colégio Pedro II";"155631";"COLEGIO PEDRO II - CAMPUS SAO CRISTOVAO II";"000022021";"01/12/2022";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO N°11/2019POR MAIS 12 (DOZE) MESES, DE 25 DE NOVEMBRO DE 2021 A 25 DE NOVEMBRO DE 2022."
"792021";"26000";"Ministério da Educação";"26409";"Instituto Federal de Minas Gerais";"155678";"INST.FED.MINAS GERAIS/CAMPUS BETIM";"000012022";"01/09/2022";"Objetivo: O PRESENTE TERMO ADITIVO TEM COMO OBJETO A PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO Nº 79/2021 , CONFORME DOCUMENTOS ANEXOS AO PROCESSO SEI N° 23792.001282/2022-11."
"312022";"26000";"Ministério da Educação";"26417";"Instituto Federal da Paraíba";"155894";"IFPB - CAMPUS ITABAIANA";"000012022";"01/11/2022";"Objetivo: O PRESENTE INSTRUMENTO TEM POR OBJETO A SUB-ROGAÇÃO TOTAL DO CONTRATO Nº 31/2022 TRANSFERINDO, ASSIM, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA CAMPUSJOÃO PESSOA, UASG 158469, TODOS OS DIREITOS E OBRIGAÇÕES ALI CONTIDOS, PARA O CAMPUS ITABAIANA, UASG 155894, DO MESMO INSTITUTO, BEM COMO A FISCALIZAÇÃO, ACOMPANHAMENTO DE VIGÊNCIA E DEMAIS PROCEDIMENTOS CONTRATUAIS."
"692022";"26000";"Ministério da Educação";"26409";"Instituto Federal de Minas Gerais";"158122";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"000012022";"08/11/2022";"Objetivo: ACRÉSCIMO DE VALORES AO CONTRATO Nº 69/2022, CONFORME DOCUMENTOS ANEXOS AO PROCESSO SEI Nº 23714.001339/2022-04."
"92022";"26000";"Ministério da Educação";"26421";"Instituto Federal de Rondônia";"158341";"INST.FED.RONDONIA/CAMPUS COLORADO DO OESTE-RO";"000012022";"28/11/2022";"Objetivo: PRORROGAÇÃO/DILAÇÃO  POR 37 (TRINTA E SETE) DIAS DO PRAZO DE EXECUÇÃO E DE VIGÊNCIA CONTRATUAL."
"72021";"26000";"Ministério da Educação";"26418";"Instituto Federal de Pernambuco";"158463";"IFPE - CAMPUS IPOJUCA";"000012022";"10/08/2022";"Objetivo: #O PRESENTE TERMO ADITIVO TEM POR OBJETIVO SUPRIMIR DO CONTRATO Nº 07/2021, EM 24,41 %, SENDO 30% DE REDUÇÃO PARA O ITEM 01 E 20% DE REDUÇÃO PARA O ITEM 02. A SUPRESSÃO DAR-SE-Á A PARTIR DE 08/08/2022."
"22022";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160013";"COLEGIO MILITAR DE MANAUS";"000012022";"23/11/2022";"Objetivo: PRORROGAÇÃO DO CONTRATO 02/2022 DE CONTRATAÇÃO DE ESCRIÓRIO DE ENGENHARIA/ARQUITETURA PARA REALIZAÇÃO DA ADEQUAÇÃO DA COBERTURA EM 'L' DO COLÉGIO, COM A FINALIDADE DE PROPORCIONARMELHORES CONDIÇÕES DE HABITABILIDADE, SAÚDE, SEGURANÇA E CONSERVAÇÃO DO COLÉGIO MILITAR DE MANAUS."
"62019";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160158";"COMANDO 13  BDA DE INFANTARIA MOTORIZADA";"000012020";"04/11/2022";"Objetivo: SUSPENSÃO TEMPORÁRIA DE CONTRATO EM DECORRÊNCIA DA DECLARAÇÃO DE PANDEMIA CAUSADA PELO CORONAVIRUS, MEDIDA DE CONTENÇÃO À PLORIFERAÇÃO ADOTADOS NAS ESFERAS FEDERAL, ESTADUAL E MUNICIPAL CESSIONÁRIO NÃO MANIFESTA INTERESSE, SUSPENSÃO DE 90 (NOVENTA) DIAS, PODENDO SER PRORROGADA EM FACE DA CONJUNTURA NACIONAL PERANTE AO ENFRENTAMENTO DA PANDEMIA"
"62019";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160158";"COMANDO 13  BDA DE INFANTARIA MOTORIZADA";"000012021";"04/11/2022";"Objetivo: PRORROGAR PRAZO DA VIGÊNCIA DO CONTRATO Nº 06/2019, POR 12 (DOZE) MESES, CONTENPLANDO-SE PERÍODO DE 01/11/2021 A 31/10/2022. REPACTUAR OS VALORES DO CONTRATO, EM RAZÃO DO REAJUSTE ANUAL CONFORME CLÁUSULA TERCEIRA, ITEM 3.1 QUE PELA VARIAÇÃO DO (IGPM-FGV) DIVULGADO PELA FGV FICOU EM 16% DO PRESENTE CONTRATO."
"62019";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160158";"COMANDO 13  BDA DE INFANTARIA MOTORIZADA";"000022022";"07/11/2022";"Objetivo: PRORROGAÇÃO DE CONTRATO CESSÃO DE USO DA BARBEARIA DA 13ª BDA INF MTZ, LOCAÇÃO DO ESPAÇO FÍSICO PARA FUNCIONAMENTO DA BARBEARIA."
