"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"12019";"20000";"Presidência da República";"20116";"Fundo de Imprensa Nacional";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000022022";"10/11/2022";"Objetivo: TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 01/2019, ATÉ O DIA 26 DE MARÇO DE 2023."
"32022";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113216";"REPRESENTACAO REGIONAL RIO DE JANEIRO - ANAC";"000012022";"18/11/2022";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A ALTERAÇÃO DO CONTRATO, EM RAZÃO DA NECESSIDADE DE AJUSTES NA PLANILHA ORÇAMENTÁRIA, NOS SEGUINTES TERMOS:R$ 569.053,13 (QUINHENTOS E SESSENTA E NOVE MIL CINQUENTA E TRÊS REAIS E TREZE CENTAVOS) REFERENTES A MODIFICAÇÕES DECORRENTES DE FALHAS E OMISSÕES QUE NÃO SE MOSTRAVAM PASSÍVEIS DE IDENTIFICAÇÃO NOS DOCUMENTOS OU EM VISITA ORDINÁRIA ÀS INSTALAÇÕES, E, PORTANTO, IMPREVISÍVEIS, COM AMPARO NO ART. 65, I, D, DA LEI 8.666/93, DE 21 DE JUNHO DE 1993.  TAL ALTER"
"122018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000012019";"04/03/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA E REDUÇÃO DO PREÇO"
"122018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000022020";"04/03/2022";"Objetivo: FORMALIZAR A ALTERAÇÃO DA RAZÃO SOCIAL, DE AÉCIO DO N. SANTOS - INFORMÁTICA PARA SPEEDING SERVIÇOS DE TELECOMUNICAÇÕES LTDA."
"122018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000032020";"04/03/2022";"Objetivo: PRORROGA-SE O PRAZO DE VIGÊNCIA PARA O PERÍODO DE 09/12/2020 A 08/12/2021"
"122018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000042021";"04/03/2022";"Objetivo: PRORROGA-SE O PRAZO DE VIGÊNCIA PARA O PERÍODO DE 09/12/2021 A 09/12/2022"
"132018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000012019";"04/03/2022";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA PARA O PER;IODO DE 09/12/2019 A 09/12/2020"
"132018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000022020";"04/03/2022";"Objetivo: PRORROGAÇÃO DA VIGÊNCIA PARA O PERÍODO DE 09/12/2020 A 08/12/2021"
"132018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000032021";"04/03/2022";"Objetivo: PRORROGAÇÃO DA VIGÊNCIA PARA O PERÍODO DE 09/12/2021 A 09/12/2022"
"142018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000012019";"04/03/2022";"Objetivo: PRORROGAÇÃO DE PRAZO DE VIGÊNCIA PARA O PERÍODO DE 17/12/2019 A 17/12/2020 E REDUÇÃO NO VALOR DA MENSALIDADE"
"142018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000022020";"04/03/2022";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA PARA O PERÍODO DE 17/12/2020 A 16/12/2021"
"142018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000032021";"04/03/2022";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA PARA O PERÍODO DE 17/12/2021 A 17/12/2022"
"142018";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114614";"UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO";"000042021";"04/03/2022";"Objetivo: FORMALIZAR A ALTERAÇÃO DA RAZÃO SOCIAL DE L E M TELECOMUNICAÇÕES EIRELI PARA L E M TELECOMUNICAÇÕES LTDA"
"32022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114619";"UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO";"000012022";"19/08/2022";"Objetivo: SUPRIMIR 100% DO ITEM 02 (LOCAÇÃO DE VEÍCULO SUV), TOTALIZANDO R$ 55.045,60 (CINQUENTA E CINCO MIL E QUARENTA E CINCO REAIS E SESSENTA CENTAVOS) E  ADITIVAR 12,5% AO ITEM 01 (LOCAÇÃO DE VEÍCULO HATCH 1.0), TOTALIZANDO R$ 53.286,22 (CINQUENTA E TRÊS MIL, DUZENTOS E OITENTA E SEIS REAIS E VINTE E DOIS CENTAVOS);"
"32022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114619";"UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO";"000022022";"07/11/2022";"Objetivo: O OBJETO DO PRESENTE INSTRUMENTO É ALTERAR A RAZÃO SOCIAL DE UNIDADE ESTADUAL DO IBGE NO ESPÍRITO SANTO PARA SUPERINTENDÊNCIA ESTADUAL DO IBGE NO ESPÍRITO SANTO, CONFORME INCISO V DO ART.5 DO ANEXO I DO DECRETO 11.177 DE 18 DE AGOSTO DE 2022 E ADITIVAR 12,5% AO ITEM 01 (LOCAÇÃO DE VEÍCULO HATCH 1.0), QUE EQUIVALE A 26 LOCAÇÕES DE VEÍCULO, TOTALIZANDO R$ 53.286,22 (CINQUENTA E TRÊS MIL, DUZENTOS E OITENTA E SEIS REAIS E VINTE E DOIS CENTAVOS);"
"42022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114624";"UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA";"000012022";"30/05/2022";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO O ACRÉSCIMO DE CLÁUSULA CONTRATUAL AO REFERIDO CONTRATO PARA ADEQUAÇÃO À INICIATIVA ANTECIPAGOV, RETRATADA NA INSTRUÇÃO NORMATIVA SEGES/ME Nº 53, DE 8 DE JULHO DE 2020."
"42022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114624";"UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA";"000022022";"30/08/2022";"Objetivo: O OBJETO DO PRESENTE TERMO ADITIVO É AUMENTAR O QUANTITATIVO DE LOCAÇÕES DO ITEM 01 (VEÍCULOS LEVES) PREVISTO NO CONTRATO, EM 147 (CENTO E QUARENTA E SETE) LOCAÇÕES, PASSANDO DE 818 (OITOCENTOS E DEZOITO) LOCAÇÕES PARA 965 (NOVECENTOS E SESSENTA E CINCO) LOCAÇÕES, EQUIVALENTE A UM ACRÉSCIMO DE APROXIMADAMENTE 16,32% (DEZESSEIS INTEIROS E TRINTA E DOIS CENTÉSIMOS POR CENTO), ONERANDO O VALOR TOTAL DO CONTRATO EM R$ 291.124,68 (DUZENTOS E NOVENTA E UM MIL, CENTO E VINTE E QUATRO REAIS E SESSENTA E OITO C"
"42022";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114624";"UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA";"000032022";"31/10/2022";"Objetivo: O OBJETO DO PRESENTE TERMO ADITIVO É AUMENTAR O QUANTITATIVO DE LOCAÇÕES DO ITEM 01 (VEÍCULOS LEVES) PREVISTO NO CONTRATO, EM 57 (CINQUENTA E SETE) LOCAÇÕES, PASSANDO DE 965 (NOVECENTOS E SESSENTA E CINCO) LOCAÇÕES PARA 1.022 (UM MIL E VINTE E DUAS) LOCAÇÕES, EQUIVALENTE A UM ACRÉSCIMO DE APROXIMADAMENTE 6,9% (SEIS INTEIROS E NOVE DÉCIMOS POR CENTO), ONERANDO O VALOR TOTAL DO CONTRATO EM R$ 112.885,08 (CENTO E DOZE MIL, OITOCENTOS E OITENTA E CINCO REAIS E OITO CENTAVOS)."
